Custom Heading: ,,,,,,,,,,,,,,,,
Formatting Options: Sort Options -  Invoice Date ,,,,,,,,,,,,,,,,
Date Selection: 02/01/2019 to 03/10/2020,,,,,,,,,,,,,,,,
Customer Selection: 467367 ESTATES PHY & SURG SUPPL,,,,,,,,,,,,,,,,
Supplier Selection: ALL,,,,,,,,,,,,,,,,
Item Selection: ALL,,,,,,,,,,,,,,,,
Advanced Options: NA,,,,,,,,,,,,,,,,
Cust#,Customer Name,McK Item#,NDC/UPC,Item Description,Generic Description,OrigInvc,Invc/Cred#,Invc/CrDate,C,Ord Qty,Fill,Return,Net,UOM,Unit Price,Ext.Price
467367,ESTATES PHY & SURG SUPPL,1239342,34580265087,LORATADINE TAB 10MG PER   300@,loratadine,7188050198,7188050198,03/10/2020,Y,12,12,0,12,EA,12.00,144.00
467367,ESTATES PHY & SURG SUPPL,1680651,00168000215,TRIAMCIN CRM 0.5%   FOUG 15GM@,triamcinolone acetonide,7188056901,7188056901,03/10/2020,Y,1,1,0,1,EA,5.20,5.20
467367,ESTATES PHY & SURG SUPPL,1700137,69907370805,FREESTYLE LITE GLUCOSE MONITOR,blood-glucose meter,7188050195,7188050195,03/10/2020,N,6,6,0,6,EA,15.75,94.50
467367,ESTATES PHY & SURG SUPPL,1802255,30904262170,CHEWABLE-VITE TAB   MMP   250@,pediatric multivitamin no.17,7188050195,7188050195,03/10/2020,Y,3,3,0,3,EA,3.66,10.98
467367,ESTATES PHY & SURG SUPPL,1819093,30193737701,CONTOUR NEXT METER       37701,blood-glucose meter,7188050195,7188050195,03/10/2020,N,6,6,0,6,EA,16.15,96.90
467367,ESTATES PHY & SURG SUPPL,1878198,50383017290,LEVOCAR TAB 330MG  HI-T  UD90,levocarnitine,7188050194,7188050194,03/10/2020,Y,1,1,0,1,EA,42.08,42.08
467367,ESTATES PHY & SURG SUPPL,1878198,50383017290,LEVOCAR TAB 330MG  HI-T  UD90,levocarnitine,7188050199,7188050199,03/10/2020,Y,1,1,0,1,EA,42.08,42.08
467367,ESTATES PHY & SURG SUPPL,1892132,34580286803,POLYETH GLY PW 3350 PERR17.9Z@,polyethylene glycol 3350,7188050198,7188050198,03/10/2020,Y,8,8,0,8,EA,7.25,58.00
467367,ESTATES PHY & SURG SUPPL,1904911,16714008111,HYDROXYZ TAB 10MG   500 NSTAR@,hydroxyzine HCl,7188050194,7188050194,03/10/2020,Y,6,5,0,5,EA,10.98,54.90
467367,ESTATES PHY & SURG SUPPL,2061349,00054054718,TELM HYDRO TB80/25MG HIK BP30@,telmisartan/hydrochlorothiazid,7188050194,7188050194,03/10/2020,Y,2,2,0,2,EA,10.51,21.02
467367,ESTATES PHY & SURG SUPPL,2165991,32390001439,NYQUIL LIQCAP               16,DM/acetaminophen/doxylamine,7188050196,7188050196,03/10/2020,N,8,8,0,8,EA,6.42,51.36
