"Customer Account Number","Invoice Date","Invoice Number","OrderItemNumber","FillNdcUpc","Product","FillUnitPrice","FillQuantity","ExtendedPrice","Account"
"839302","6/5/2019","7138570014","3540135","99073070822","T FREESTYLE LIT T/STRPS*MST*50","46.99","24","1127.76","ESTATES PHARMACY MSX"
"839302","6/5/2019","7138571882","2203727","51672130104","AMMON LACT CR 12% TAR 2X140GM","9.49","24","227.76","ESTATES PHARMACY MSX"
"839302","6/5/2019","7138571882","1864859","60505057804","AZELAST OS 0.05%    APX   6ML","3.50","24","84.00","ESTATES PHARMACY MSX"
"839302","6/5/2019","7138570014","3925849","69784018010","POLYETH GLY PWD  WOOD3350 100","85.00","4","340.00","ESTATES PHARMACY MSX"
"839302","6/5/2019","7138571882","3942331","69315030230","S HYDROC CRM2.5%LEAD*MST*30GR","4.80","50","240.00","ESTATES PHARMACY MSX"
"839302","6/6/2019","7138800711","3900925","68462053494","TACROLIMUS OINT 0.1%GLEN100GM","194.99","2","389.98","ESTATES PHARMACY MSX"
"839302","6/7/2019","7139026825","2080729","16714085402","METOPROL SUCC ER 100MG500NSTR","64.99","1","64.99","ESTATES PHARMACY MSX"
"839302","6/7/2019","7139026825","2078392","16714085202","METOPROL SUCC ER 25MG 500NSTR","34.99","1","34.99","ESTATES PHARMACY MSX"
"839302","6/7/2019","7139026825","2080679","16714085302","METOPROL SUCC ER 50MG 500NSTR","34.99","1","34.99","ESTATES PHARMACY MSX"
"839302","6/7/2019","7139026475","3902707","51672213008","IBUPROF CHL OS100MG/5MLTAR4OZ","2.00","100","200.00","ESTATES PHARMACY MSX"
"839302","6/7/2019","7139026825","2080778","16714085502","METOPROL SUCC ER 200MG500NSTR","64.99","1","64.99","ESTATES PHARMACY MSX"
"839302","6/12/2019","7139841055","1267152","00168009960","KETOCONAZOLE CRM 2% SAN  60GM","17.75","30","532.50","ESTATES PHARMACY MSX"
"839302","6/18/2019","7140843969","1398122","00781518210","LEVOTHYROX TB 75MCG SAN  1000","165.00","2","330.00","ESTATES PHARMACY MSX"
"839302","6/18/2019","7140843969","1398072","00781518010","LEVOTHYROX TB 25MCG SAN  1000","165.00","2","330.00","ESTATES PHARMACY MSX"
"839302","6/18/2019","7140843969","1398114","00781518110","LEVOTHYROX TB 50MCG SAN  1000","165.00","2","330.00","ESTATES PHARMACY MSX"
"839302","6/18/2019","7140843969","3902707","51672213008","IBUPROF CHL OS100MG/5MLTAR4OZ","1.90","500","950.00","ESTATES PHARMACY MSX"
"839302","6/19/2019","7141073689","2141661","00781519192","LEVOTHYROX TAB 137MCG SAN  90","15.99","2","31.98","ESTATES PHARMACY MSX"
"839302","6/19/2019","7141073689","2080679","16714085302","METOPROL SUCC ER 50MG 500NSTR","34.99","4","139.96","ESTATES PHARMACY MSX"
"839302","6/19/2019","7141073689","2155539","00781518592","LEVOTHYROX TB 112MCG SAN   90","15.99","2","31.98","ESTATES PHARMACY MSX"
"839302","6/24/2019","7141824250","1713684","49884070155","CLOMIPH CITR TAB 50MG PAR  30","18.00","6","108.00","ESTATES PHARMACY MSX"
"839302","6/24/2019","7141825702","3925849","69784018010","POLYETH GLY PWD  WOOD3350 100","85.00","4","340.00","ESTATES PHARMACY MSX"
"839302","6/24/2019","7141824250","3451200","29300024210","AMLODIPINE BESYL TB5MGUNI1000","7.00","2","14.00","ESTATES PHARMACY MSX"
"839302","7/1/2019","7143104503","1398072","00781518010","LEVOTHYROX TB 25MCG SAN  1000","165.00","2","330.00","ESTATES PHARMACY MSX"
"839302","7/1/2019","7143104502","2078392","16714085202","METOPROL SUCC ER 25MG 500NSTR","34.99","4","139.96","ESTATES PHARMACY MSX"
"839302","7/1/2019","7143104502","2080679","16714085302","METOPROL SUCC ER 50MG 500NSTR","34.99","4","139.96","ESTATES PHARMACY MSX"
"839302","7/1/2019","7143104503","1398114","00781518110","LEVOTHYROX TB 50MCG SAN  1000","179.99","2","359.98","ESTATES PHARMACY MSX"
"839302","7/1/2019","7143104503","1398155","00781518410","LEVOTHYROX TB 100MCG SAN 1000","179.99","1","179.99","ESTATES PHARMACY MSX"
"839302","7/3/2019","7143566181","3942331","69315030230","S HYDROC CRM2.5%LEAD*MST*30GR","4.80","48","230.40","ESTATES PHARMACY MSX"
"839302","7/9/2019","7144420924","3925849","69784018010","POLYETH GLY PWD  WOOD3350 100","85.00","5","425.00","ESTATES PHARMACY MSX"
"839302","7/16/2019","7145754848","2078392","16714085202","METOPROL SUCC ER 25MG 500NSTR","34.99","5","174.95","ESTATES PHARMACY MSX"
"839302","7/16/2019","7145754848","2080679","16714085302","METOPROL SUCC ER 50MG 500NSTR","34.99","5","174.95","ESTATES PHARMACY MSX"
"839302","7/19/2019","7146422112","1864859","60505057804","AZELAST OS 0.05%    APX   6ML","3.50","24","84.00","ESTATES PHARMACY MSX"
"839302","7/19/2019","7146422112","3745536","69097031987","BUDESON INH/S 0.5MG/2ML CIP30","26.00","4","104.00","ESTATES PHARMACY MSX"
"839302","7/22/2019","7146728051","3955325","50228042360","RANOLAZINE ER 500MG SCI 60","19.00","18","342.00","ESTATES PHARMACY MSX"
"839302","7/23/2019","7146953351","3540135","99073070822","T FREESTYLE LIT T/STRPS*MST*50","47.00","25","1175.00","ESTATES PHARMACY MSX"
"839302","7/26/2019","7147653439","2078392","16714085202","METOPROL SUCC ER 25MG 500NSTR","34.99","5","174.95","ESTATES PHARMACY MSX"
"839302","7/26/2019","7147653439","1398114","00781518110","LEVOTHYROX TB 50MCG SAN  1000","179.99","2","359.98","ESTATES PHARMACY MSX"
"839302","7/26/2019","7147653439","3792819","68180096503","LEVOTHY SOD TB0.025MG LUP1000","157.32","1","157.32","ESTATES PHARMACY MSX"
"839302","8/2/2019","7148899930","1398122","00781518210","LEVOTHYROX TB 75MCG SAN  1000","165.00","1","165.00","ESTATES PHARMACY MSX"
"839302","8/2/2019","7148899929","3925849","69784018010","POLYETH GLY PWD  WOOD3350 100","85.00","5","425.00","ESTATES PHARMACY MSX"
"839302","8/7/2019","7149692383","3923489","68462044718","SEVELAMER HCI TB800MG GLEN180","550.00","5","2750.00","ESTATES PHARMACY MSX"
"839302","8/8/2019","7149960569","3942331","69315030230","S HYDROC CRM2.5%LEAD*MST*30GR","4.75","48","228.00","ESTATES PHARMACY MSX"
